date,country,order_number,SKU,model,original text,summary,is_complaint,categories
2024-12-31 17:41:35,FR,408-6144859-7393928,AU-PJ-AD001S-EUWH0,AD001S,"Bonjour,
Je vous contacte car ®§ No?l j°Øai eu un vid®¶o projecteur avec des probl®®me de pixel pouvez vous nous dire comment r®¶gler ce probl®®me ?
Nous n°Øavons pas de t?che sur le mur c°Øest vraiment un probl®®me de pixel nous avons enlev®¶ les quelques poussi®®re qu°Øil y avait mais rien ®§ faire. Au d®¶but il y avait 1 pixel maintenant 5 en m®∫me pas 2 jours.","The user received a projector with pixel issues that have worsened over two days, and is seeking advice on how to fix it.",TRUE,"['Display Issue', 'Other Hardware Issue']"
2024-12-31 18:01:40,FR,406-7103315-3789132,AU-PJ-BM503H-EUBK0,BM503H,"Bonjour,
J'ai achet®¶ ce r®¶troprojecteurs sur Amazon ,si joint la facturation.
Le vid®¶oprojecteur pr®¶sente des tache noir, ®§ vrai dire il pr®¶sente une grande tache carr®¶ noir qui prend tout l'®¶cran.
Le produit est toujours sous garantie,je souhaite faire marcher la garantie.
En attente de votre r®¶ponse.
?
William Gaechter?
0771740592",The user reports a large black square stain covering the entire screen of the projector and wants to claim the warranty.,TRUE,"['Display Issue', 'Other Hardware Issue']"
2025-01-01 17:31:16,FR,407-7818713-1053960,AU-PJ-AD001S-EUBU0,AD001S,"Bonsoir,
Je me permets de vous ®¶crire car, nous avons fait l°Øachat d°Øun vid®¶o projecteur il y a de ?a 3 mois, il fonctionne tr®®s bien, mais ce soir nous avons un soucis, quand nous voulons l°Øallumer le nom de la marque appara?t mais avec une lumi®®re tr®®s faible puis s°Ø®¶teint°≠
Nous avons nettoyer les filtres mais rien n°Øy fait°≠
Que pouvons nous faire d°Øautres ?
Merci beaucoup.
Cordialement.
IC: 31892-YX02
Model number: D001
D1240600149
M. Melvin DALLOIS","The video projector, purchased three months ago, shows a weak brand name light when turned on and then shuts off, despite cleaning the filters.",TRUE,"['On/Off Issue', 'Other Hardware Issue']"
2025-01-02 10:43:49,DE,305-7288902-7372321,AU-PJ-BM503H-EUGD0,BM503H,"Hallo, 
ich habe nun den zweiten AUZREN Boom 3 Beamer von Ihnen im Betrieb. Den ersten Beamer schickte ich gleich nach Erhalt zur®πck, da sich in dunklen Bereichen des Bildes, helle Punkte und in hellen Bereichen des Bildes, dunkle Punkte abzeichneten. 
Da ich dachte es handle sich um einen Fabrikationsfehler tauschte ich diesen um. Nach Erhalt stellte ich fest, das auch der neu gelieferte Beamer den gleichen Makel aufweist. Jedoch nicht in diesem Umfang. Nach einigen Wochen im Betrieb merke ich aber, dass sich das Problem in die gleiche Richtung entwickelt. Immer mehr Punkte sind in dunklen und hellen Bereichen zu finden. 
Ich nehme an, dass die Linse nicht Luftdicht verbaut ist und entsprechend Staubpartikel in das Innere der Linse geraten. 
Was kann man hier tun?","Customer reports bright and dark spots appearing on the projector image, likely due to dust inside the lens, and experiences the same issue with two units.",TRUE,['Other Hardware Issue']
2025-01-02 10:44:18,DE,305-1679787-4236365,AU-PJ-BM503H-EUGD0,BM503H,"Hallo, 
ich habe nun den zweiten AUZREN Boom 3 Beamer von Ihnen im Betrieb. Den ersten Beamer schickte ich gleich nach Erhalt zur®πck, da sich in dunklen Bereichen des Bildes, helle Punkte und in hellen Bereichen des Bildes, dunkle Punkte abzeichneten. 
Da ich dachte es handle sich um einen Fabrikationsfehler tauschte ich diesen um. Nach Erhalt stellte ich fest, das auch der neu gelieferte Beamer den gleichen Makel aufweist. Jedoch nicht in diesem Umfang. Nach einigen Wochen im Betrieb merke ich aber, dass sich das Problem in die gleiche Richtung entwickelt. Immer mehr Punkte sind in dunklen und hellen Bereichen zu finden. 
Ich nehme an, dass die Linse nicht Luftdicht verbaut ist und entsprechend Staubpartikel in das Innere der Linse geraten. 
Was kann man hier tun?","Customer reports bright and dark spots appearing in dark and bright areas of the projector image, likely due to dust inside the lens, affecting two units received.",TRUE,"['Display Issue', 'Other Hardware Issue']"
2025-01-03 11:32:43,ES,404-3866386-5847561,AU-PJ-BM503H-EUBK0,BM503H,"Hola Vicky. No habia visto hasta hoy tus mensajes. Disculpa que no te haya respondido antes. El proyector lo devolvi, pero posteriormente compre otro con el n°„ de pedido 404-3866386-5847561 con fecha 21-11-24. Este proyector presenta otra mancha en la pantalla, pero no me atrevo a abrirlo por el tema de la garantia. Pensaba devolverlo antes del 6 de febrero, si quieres podria recibir otro como me indicas, a ver si no presenta problemas en la imagen, ya que el proyector realmente tiene una gran calidad de imagen y sonido. Lastima del fallo en la imagen proyectada. Quedo a la espera de tu respuesta y por supuesto que el servicio de atencion al cliente es excelente y asi lo hare notar en las rese?as del producto Un saludo y muchas gracias por todo. Quedo a la espera de tu respuesta.
Jose Luis.",Customer received a replacement projector that has a screen stain but is hesitant to open it due to warranty concerns. They appreciate the image and sound quality but are considering another replacement before the return deadline.,TRUE,['Display Issue']
2025-01-03 16:28:08,DE,01125_245234936-A,AU-PJ-AD001S-EUWH0,AD001S,"Sehr geehrte Damen und Herren,?
Ich brauche unbedingt eine Rechnung, die noch auf 2024 ausgestellt ist.?
Ansonsten muss ich den Artikel zur®πck schicken.
K?nnten Sie das bitte ?ndern und mir eine neue Rechnung zusenden?
Herzliche Gr®π?e",Customer requests an updated invoice dated 2024 to avoid returning the item.,TRUE,['Other Issue']
2025-01-06 09:54:03,FR,402-6306458-3386752,AU-PJ-AD001S-EUWH0,AD001S,"Bonjour , je pensais qu°Øil y avait un pied dessous le vid®¶o projecteur pour monter la hauteur. Car il est pos®¶ sur un meuble, donc diffuse l°Ø®¶cran super bas sur le mur !","The user expected the video projector to have a stand for height adjustment but found it placed directly on a furniture, resulting in the projection being too low on the wall.",TRUE,['Specification Mismatch']
2025-01-06 10:09:08,FR,403-1027062-3004361,AU-PJ-AD001S-EUWH0,AD001S,"Bonjour, 
La luminosit®¶ est tr®®s basse lorsqu°Øon va sur Netflix. Auriez vous une solution merci d°Øavance.",The brightness is very low when using Netflix and the user is seeking a solution.,TRUE,['Display Issue']
2025-01-06 09:54:03,FR,406-6873248-4795524,AU-PJ-AD001S-EUWH0,AD001S,J'ai acheter votre produit et il est d®¶fectueux Pixel mort  N°„ de commande 406-6873248-4795524,The customer reports a defective product with dead pixels.,TRUE,"['Display Issue', 'Other Hardware Issue']"
2025-01-06 10:09:08,FR,406-7763999-1269121,AU-PJ-BM503H-EUBK0,BM503H,"Bonjour,?
J'ai achet®¶ un aurzen boom 3 sur Amazon que j'ai re?u le 17 octobre
Je l'ai utilis®¶ un peu de temps en temps depuis, il fonctionnait bien.?
Aujourd'hui je n'arrive plus ®§ lire de vid®¶os sur YouTube ou de vid®¶o sur la cl®¶ USB que j'utilise depuis le d®¶but et qui fonctionnait auparavant. Je n'arrive plus non plus ®§ utiliser l'appstore netrange (erreur 404)
Est-il possible d'®∫tre rembours®¶ ou de se faire r®¶parer le vid®¶oprojecteur puisque les deux ans de garantie sont encore d'actualit®¶ ?
Merci beaucoup","The user reports that their Aurzen Boom 3 projector, which previously worked fine, now fails to play videos from YouTube and USB, and the appstore shows an error. They request repair or refund under warranty.",TRUE,"['Software Issue', 'Other Hardware Issue']"
2025-01-06 09:54:03,ES,171-4948863-5680345,AU-PJ-BM503H-EUBK0,BM503H,"Hola
Por favor pido reemplazo del Proyector 4k defectuoso en la lente que esta rayada.",Customer requests replacement of a 4K projector due to a scratched lens.,TRUE,['Other Hardware Issue']
2025-01-06 10:09:08,DE,303-6835639-7813117,AU-PJ-BM503H-EUGD0,BM503H,"Good morning!
I have a problem with my projector. The fan noise is very loud and the projector is basically at my head. Is there a way to make it less noisy? Changing the fan for example?",Customer is experiencing excessively loud fan noise from their projector and is seeking ways to reduce it.,TRUE,['Other Hardware Issue']
2025-01-06 10:09:08,DE,01125_245863021-A,AU-PJ-AD001S-EUWH0,AD001S,"Sehr geehrte Damen und Herren,
?ich schreibe Ihnen bez®πglich meiner Sendung mit der Sendungsnummer 00340434753712676024, die ich bei Ihnen bzw. Media Markt mit der Bestellnummer 245863021 bestellt habe und die laut Ihrer letzten Statusmeldung am 25.12.2024 versendet wurde.
Leider habe ich bis heute mein Paket nicht erhalten und es gibt auch keine weiteren Updates in der Sendungsverfolgung seit dem 27.12.2024. Da der erwartete Liefertermin bereits ®πberschritten ist, m?chte ich Sie bitten, mir zu helfen, den aktuellen Status zu ermitteln und zu kl?ren, wo genau sich mein Paket derzeit befindet.
K?nnten Sie bitte die notwendigen Schritte einleiten, um den Verbleib meiner Sendung zu kl?ren und mir eine R®πckmeldung zu geben??
Mit freundlichen Gr®π?en,
Sina Kantowski",Customer has not received their package despite it being marked as shipped and requests help to locate the shipment.,TRUE,['Shipping Issue']
2025-01-06 10:09:08,IT,402-5833588-8938729,AU-PJ-AD001S-EUWH0,AD001S,"""Pessimo
Recensito in Italia il 1 ottobre 2024
Colore: BiancoAcquisto verificato
Si ®® rotto dopo una settimana, non si accende piu""",The product broke after one week and no longer turns on.,TRUE,"['On/Off Issue', 'Other Hardware Issue']"
2025-01-04 15:25:35,DE,303-4206011-8677925,AU-PJ-BM503H-EUBK0,BM503H,"in den ecken total unscharf, riecht nach etwa 20 stunden laufzeit verbrannt",The corners are very blurry and there is a burnt smell after about 20 hours of use.,TRUE,"['Display Issue', 'Other Hardware Issue']"
2025-01-05 16:19:59,FR,404-0822687-6932346,AU-PJ-AD001P-EUDG0,AD001P,Je souhaite ajouter des applications mais le syst?°ßme pour ajouter des applications se met en erreur tout le temps et donc je ne peux pas rajouter les applications dont j?Äôai besoin.,The user is unable to add applications because the system for adding apps keeps crashing.,TRUE,['Software Issue']
2025-01-04 00:00:00,DE,306-1563732-2481116,AU-PJ-AD001S-EUWH0,AD001S,"Does not turn on at all, for no reason. Unacceptable after only 1 day!",The device does not turn on after only one day of use.,TRUE,['On/Off Issue']
2025-01-04 00:00:00,DE,305-3558912-7074723,AU-PJ-AD001S-EUWH0,AD001S,Der L®πfter macht in unregelm??igen Abst?nden ein st?rendes ratterndes/rasselndes Ger?usch.,The fan makes an irregular disturbing rattling/grinding noise.,TRUE,['Other Hardware Issue']
2025-01-06 20:32:38,DE, 306-7289003-4073942,AU-PJ-AD001S-EUWH0,AD001S,"Auf der Linse ist ein Kratzer, den man bei einem dunklen Bild sieht.",There is a scratch on the lens that is visible in dark images.,TRUE,['Other Hardware Issue']
2025-01-04 00:00:00,DE,302-9820713-9033139,AU-PJ-AD001S-EUWH0,AD001S,In der Linse sind zwei Streifen die auf der Leinwand zu sehen sind. Eventuell Staubeinschl®πsse. Bekomme sie mit dem Tuch nicht weg. Qualit?t ansonsten Top. Bitte um Austausch.,"There are two stripes on the lens visible on the screen, possibly dust inclusions, which cannot be removed with a cloth. Customer requests an exchange despite overall good quality.",TRUE,['Other Hardware Issue']
2025-01-03 03:10:51,DE,304-7579481-3185152,AU-PJ-AD001S-EUWH0,AD001S,F®πr die Anwendung die ich ben?tige ungen®πgend,The product is insufficient for the application the user needs.,TRUE,['Specification Mismatch']
2025-01-04 00:00:00,DE,305-1310921-7356319,AU-PJ-AD001S-EUWH0,AD001S,L?sst sich nicht mit dem W-Lan verbinden. L?sst sich nicht mit dem mobilen Hot Spot verbinden.,The device cannot connect to Wi-Fi or a mobile hotspot.,TRUE,['Connectivity Issue']
2025-01-04 00:00:00,DE,303-3205754-0065113,AU-PJ-AD001S-EUWH0,AD001S,Bildqualit?t nicht gut / L®πfter zu laut,The user reports poor image quality and that the fan is too loud.,TRUE,"['Display Issue', 'Other Hardware Issue']"
2025-01-07 00:00:00,DE,304-8212594-0478719,AU-PJ-AD001S-EUWH0,AD001S,L®πfter laut und Fernbedienung funktioniert nicht immer,The fan is loud and the remote control does not always work.,TRUE,['Other Hardware Issue']
2024-12-30 00:00:00,DE,305-9095377-5781103,AU-PJ-AD001S-EUWH0,AD001S,Der Beamer hat leider mehrere Pixelfehler wenn das Bild Schwarz ist.,The projector has multiple dead pixels visible on black screens.,TRUE,['Display Issue']
2024-12-30 00:00:00,DE,303-5941341-9610706,AU-PJ-AD001S-EUWH0,AD001S,Leider ist der Fokus und die Einstellung des Trapez nicht ausreichen.,The focus and adjustment of the trapezoid are insufficient.,TRUE,['Other Hardware Issue']
2025-01-01 00:00:00,DE,305-5260732-0020339,AU-PJ-BM503H-EUBK0,BM503H,Beamer sammelt schon nach kurzer Zeit im inneren Staub an. Es wurde angegeben das der Beamer staubdicht ist. Diese Angaben waren falsch weshalb ich den Beamer leider wieder zur®πckgeben muss.,"The projector accumulates dust inside after a short time, contrary to the claim that it is dustproof, leading to a return.",TRUE,"['Specification Mismatch', 'Other Hardware Issue']"
2025-01-04 00:00:00,FR,408-7388399-9894760,AU-PJ-AD001S-EUWH0,AD001S,J'ai un point blanc et plusieurs points noirs apparaissant sur la projection.,White and black spots are appearing on the projection.,TRUE,"['Display Issue', 'Other Hardware Issue']"
